base_country,to_country,distance,distance_units,transaction_cost
AE,LV,2736.7405550589583,5.0,15.0
AE,LY,2296.6162270735363,5.0,15.0
AE,MA,3728.74177748222,7.0,17.0
AE,MC,2968.961178768452,6.0,16.0
AE,MD,2171.8447989388214,4.0,14.0
AE,ME,2374.2224957489066,5.0,15.0
AE,MG,2952.864971479743,6.0,16.0
AE,MH,7713.534335563064,15.0,25.0
AE,MK,2232.5188838341132,4.0,14.0
AE,ML,3741.784701684722,7.0,17.0
AE,MM,2677.1696173670257,5.0,15.0
AE,MN,3185.315195810802,6.0,16.0
AE,MO,3774.4445630928017,8.0,18.0
AE,MP,5842.0438510876165,12.0,22.0
AE,MQ,7312.687267033941,15.0,25.0
AE,MR,4111.745037067135,8.0,18.0
AE,MS,7305.473962688794,15.0,25.0
AE,MT,2502.2197091111707,5.0,15.0
AE,MU,3034.66231729707,6.0,16.0
AE,MV,1904.5139452360725,4.0,14.0
AE,MW,2857.9563759134194,6.0,16.0
AE,MX,8820.326244166736,18.0,28.0
AE,MY,3469.0762122355127,7.0,17.0
AE,MZ,3159.6290033668747,6.0,16.0
AE,NA,3988.2743777205133,8.0,18.0
AE,NC,8109.617264713162,16.0,26.0
AE,NE,2976.761196847144,6.0,16.0
AE,NF,8386.208790126846,17.0,27.0
AE,NG,3140.3826422714105,6.0,16.0
AE,NI,8702.787082584058,17.0,27.0
AE,NL,3222.249374799998,6.0,16.0
AE,NO,3346.089016355125,7.0,17.0
AE,NP,1907.5052161615383,4.0,14.0
AE,NR,7690.625862732467,15.0,25.0
AE,NU,9615.786797363955,19.0,29.0
AE,NZ,8855.155124653762,18.0,28.0
AE,OM,187.08301777710747,0.0,10.0
AE,PA,8660.350516839966,17.0,27.0
AE,PE,8925.947791111816,18.0,28.0
AE,PF,10882.980733254284,22.0,32.0
AE,PG,6398.361234085665,13.0,23.0
AE,PH,4481.684423134419,9.0,19.0
AE,PK,1067.420778488871,2.0,12.0
AE,PL,2688.1010345596073,5.0,15.0
AE,PM,5921.3217498113145,12.0,22.0
AE,PN,12316.776872918725,25.0,35.0
AE,PR,7496.388194258032,15.0,25.0
AE,PS,1279.594884410334,3.0,13.0
AE,PT,3747.5077369233677,7.0,17.0
AE,PW,5427.501921161644,11.0,21.0
AE,PY,8189.025587667844,16.0,26.0
AE,QA,214.225027855239,0.0,10.0
AE,RE,3079.464254962738,6.0,16.0
